Date,Price,Date,Open,High,Low,Close price,Vol.,Change %,,Volatility,Daily volatility,,,,,,,,,,,,,,,,,
"May 14, 2020"," ₹ 2,852.50 ","May 14, 2020"," ₹ 2,794.54 "," ₹ 2,852.80 "," ₹ 2,766.64 "," ₹ 2,852.50 ",-,1.15%,1%,86.16,3.10%,,,,,,,,,,,,,,,,,
"May 13, 2020"," ₹ 2,820.00 ","May 13, 2020"," ₹ 2,865.86 "," ₹ 2,874.14 "," ₹ 2,793.15 "," ₹ 2,820.00 ",-,-1.75%,2%,80.99,2.80%,,,,,,,,,,,,,,,,,
"May 12, 2020"," ₹ 2,870.12 ","May 12, 2020"," ₹ 2,939.50 "," ₹ 2,945.82 "," ₹ 2,869.59 "," ₹ 2,870.12 ",-,-2.05%,2%,76.23,2.60%,,,,,,,,,,,,,,,,,
"May 11, 2020"," ₹ 2,930.32 ","May 11, 2020"," ₹ 2,915.46 "," ₹ 2,944.25 "," ₹ 2,903.44 "," ₹ 2,930.32 ",-,0.02%,0%,40.81,1.40%,,,,,,,,,,,,,,,,,
"May 08, 2020"," ₹ 2,929.80 ","May 08, 2020"," ₹ 2,908.83 "," ₹ 2,932.16 "," ₹ 2,902.88 "," ₹ 2,929.80 ",-,1.69%,2%,29.28,1.00%,,,,,,,,,,,,,,,,,
"May 07, 2020"," ₹ 2,881.19 ","May 07, 2020"," ₹ 2,878.26 "," ₹ 2,901.92 "," ₹ 2,876.48 "," ₹ 2,881.19 ",-,1.15%,1%,25.44,0.90%,,,,,,,,,,,,,,,,,
"May 06, 2020"," ₹ 2,848.42 ","May 06, 2020"," ₹ 2,883.14 "," ₹ 2,891.11 "," ₹ 2,847.65 "," ₹ 2,848.42 ",-,-0.70%,1%,43.46,1.50%,,,,,,,,,,,,,,,,,
"May 05, 2020"," ₹ 2,868.44 ","May 05, 2020"," ₹ 2,868.88 "," ₹ 2,898.23 "," ₹ 2,863.55 "," ₹ 2,868.44 ",-,0.90%,1%,34.68,1.20%,,,,,,,,,,,,,,,,,
"May 04, 2020"," ₹ 2,842.74 ","May 04, 2020"," ₹ 2,815.01 "," ₹ 2,844.24 "," ₹ 2,797.85 "," ₹ 2,842.74 ",-,0.42%,0%,46.39,1.60%,,,,,,,,,,,,,,,,,
"May 01, 2020"," ₹ 2,830.71 ","May 01, 2020"," ₹ 2,869.09 "," ₹ 2,869.09 "," ₹ 2,821.61 "," ₹ 2,830.71 ",-,-2.81%,3%,47.48,1.70%,,,,,,,,,,,,,,,,,
"Apr 30, 2020"," ₹ 2,912.43 ","Apr 30, 2020"," ₹ 2,930.91 "," ₹ 2,930.91 "," ₹ 2,892.47 "," ₹ 2,912.43 ",-,-0.92%,1%,38.44,1.30%,,,,,,,,,,,,,,,,,
"Apr 29, 2020"," ₹ 2,939.51 ","Apr 29, 2020"," ₹ 2,918.46 "," ₹ 2,954.86 "," ₹ 2,912.16 "," ₹ 2,939.51 ",-,2.66%,3%,42.7,1.50%,,,,,,,,,,,,,,,,,
"Apr 28, 2020"," ₹ 2,863.39 ","Apr 28, 2020"," ₹ 2,909.96 "," ₹ 2,921.15 "," ₹ 2,860.71 "," ₹ 2,863.39 ",-,-0.52%,1%,60.44,2.10%,,,,,,,,,,,,,,,,,
"Apr 27, 2020"," ₹ 2,878.48 ","Apr 27, 2020"," ₹ 2,854.65 "," ₹ 2,887.72 "," ₹ 2,852.89 "," ₹ 2,878.48 ",-,1.47%,1%,34.83,1.20%,,,,,,,,,,,,,,,,,
"Apr 24, 2020"," ₹ 2,836.74 ","Apr 24, 2020"," ₹ 2,812.64 "," ₹ 2,842.71 "," ₹ 2,791.76 "," ₹ 2,836.74 ",-,1.39%,1%,50.95,1.80%,,,,,,,,,,,,,,,,,
"Apr 23, 2020"," ₹ 2,797.80 ","Apr 23, 2020"," ₹ 2,810.42 "," ₹ 2,844.90 "," ₹ 2,794.26 "," ₹ 2,797.80 ",-,-0.05%,0%,50.64,1.80%,,,,,,,,,,,,,,,,,
"Apr 22, 2020"," ₹ 2,799.31 ","Apr 22, 2020"," ₹ 2,787.89 "," ₹ 2,815.10 "," ₹ 2,775.95 "," ₹ 2,799.31 ",-,2.29%,2%,39.15,1.40%,,,,,,,,,,,,,,,,,
"Apr 21, 2020"," ₹ 2,736.56 ","Apr 21, 2020"," ₹ 2,784.81 "," ₹ 2,785.54 "," ₹ 2,727.10 "," ₹ 2,736.56 ",-,-3.07%,3%,58.44,2.10%,,,,,,,,,,,,,,,,,
"Apr 20, 2020"," ₹ 2,823.16 ","Apr 20, 2020"," ₹ 2,845.62 "," ₹ 2,868.98 "," ₹ 2,820.43 "," ₹ 2,823.16 ",-,-1.79%,2%,48.55,1.70%,,,,,,,,,,,,,,,,,
"Apr 17, 2020"," ₹ 2,874.56 ","Apr 17, 2020"," ₹ 2,842.43 "," ₹ 2,879.22 "," ₹ 2,830.88 "," ₹ 2,874.56 ",-,2.68%,3%,48.34,1.70%,,,,,,,,,,,,,,,,,
"Apr 16, 2020"," ₹ 2,799.55 ","Apr 16, 2020"," ₹ 2,799.34 "," ₹ 2,806.51 "," ₹ 2,764.32 "," ₹ 2,799.55 ",-,0.58%,1%,42.19,1.50%,,,,,,,,,,,,,,,,,
"Apr 15, 2020"," ₹ 2,783.36 ","Apr 15, 2020"," ₹ 2,795.64 "," ₹ 2,801.88 "," ₹ 2,761.54 "," ₹ 2,783.36 ",-,-2.20%,2%,40.34,1.40%,,,,,,,,,,,,,,,,,
"Apr 14, 2020"," ₹ 2,846.06 ","Apr 14, 2020"," ₹ 2,805.10 "," ₹ 2,851.85 "," ₹ 2,805.10 "," ₹ 2,846.06 ",-,3.06%,3%,46.75,1.70%,,,,,,,,,,,,,,,,,
"Apr 13, 2020"," ₹ 2,761.63 ","Apr 13, 2020"," ₹ 2,782.46 "," ₹ 2,782.46 "," ₹ 2,721.17 "," ₹ 2,761.63 ",-,-1.01%,1%,61.29,2.20%,,,,,,,,,,,,,,,,,
"Apr 09, 2020"," ₹ 2,789.82 ","Apr 09, 2020"," ₹ 2,776.99 "," ₹ 2,818.57 "," ₹ 2,762.36 "," ₹ 2,789.82 ",-,1.45%,1%,56.21,2.00%,,,,,,,,,,,,,,,,,
"Apr 08, 2020"," ₹ 2,749.98 ","Apr 08, 2020"," ₹ 2,685.00 "," ₹ 2,760.75 "," ₹ 2,663.30 "," ₹ 2,749.98 ",-,3.41%,3%,97.45,3.60%,,,,,,,,,,,,,,,,,
"Apr 07, 2020"," ₹ 2,659.41 ","Apr 07, 2020"," ₹ 2,738.65 "," ₹ 2,756.89 "," ₹ 2,657.67 "," ₹ 2,659.41 ",-,-0.16%,0%,99.22,3.60%,,,,,,,,,,,,,,,,,
"Apr 06, 2020"," ₹ 2,663.68 ","Apr 06, 2020"," ₹ 2,578.28 "," ₹ 2,676.85 "," ₹ 2,574.57 "," ₹ 2,663.68 ",-,7.03%,7%,102.28,4.00%,,,,,,,,,,,,,,,,,
"Apr 03, 2020"," ₹ 2,488.65 ","Apr 03, 2020"," ₹ 2,514.92 "," ₹ 2,538.18 "," ₹ 2,459.96 "," ₹ 2,488.65 ",-,-1.51%,2%,78.22,3.10%,,,,,,,,,,,,,,,,,
"Apr 02, 2020"," ₹ 2,526.90 ","Apr 02, 2020"," ₹ 2,458.54 "," ₹ 2,533.22 "," ₹ 2,455.79 "," ₹ 2,526.90 ",-,2.28%,2%,77.43,3.10%,,,,,,,,,,,,,,,,,
"Apr 01, 2020"," ₹ 2,470.50 ","Apr 01, 2020"," ₹ 2,498.08 "," ₹ 2,522.75 "," ₹ 2,447.49 "," ₹ 2,470.50 ",-,-4.41%,4%,75.26,3.00%,,,,,,,,,,,,,,,,,
"Mar 31, 2020"," ₹ 2,584.59 ","Mar 31, 2020"," ₹ 2,614.69 "," ₹ 2,641.39 "," ₹ 2,571.15 "," ₹ 2,584.59 ",-,-1.60%,2%,70.24,2.70%,,,,,,,,,,,,,,,,,
"Mar 30, 2020"," ₹ 2,626.65 ","Mar 30, 2020"," ₹ 2,558.98 "," ₹ 2,631.80 "," ₹ 2,545.28 "," ₹ 2,626.65 ",-,3.35%,3%,86.52,3.40%,,,,,,,,,,,,,,,,,
"Mar 27, 2020"," ₹ 2,541.47 ","Mar 27, 2020"," ₹ 2,555.87 "," ₹ 2,615.91 "," ₹ 2,520.02 "," ₹ 2,541.47 ",-,-3.37%,3%,95.89,3.80%,,,,,,,,,,,,,,,,,
"Mar 26, 2020"," ₹ 2,630.07 ","Mar 26, 2020"," ₹ 2,501.29 "," ₹ 2,637.01 "," ₹ 2,500.72 "," ₹ 2,630.07 ",-,6.24%,6%,136.29,5.40%,,,,,,,,,,,,,,,,,
"Mar 25, 2020"," ₹ 2,475.56 ","Mar 25, 2020"," ₹ 2,457.77 "," ₹ 2,571.42 "," ₹ 2,407.53 "," ₹ 2,475.56 ",-,1.15%,1%,163.89,6.70%,,,,,,,,,,,,,,,,,
"Mar 24, 2020"," ₹ 2,447.33 ","Mar 24, 2020"," ₹ 2,344.44 "," ₹ 2,449.71 "," ₹ 2,344.44 "," ₹ 2,447.33 ",-,9.38%,9%,105.27,4.50%,,,,,,,,,,,,,,,,,
"Mar 23, 2020"," ₹ 2,237.40 ","Mar 23, 2020"," ₹ 2,290.71 "," ₹ 2,300.73 "," ₹ 2,191.86 "," ₹ 2,237.40 ",-,-2.93%,3%,108.87,4.80%,,,,,,,,,,,,,,,,,
"Mar 20, 2020"," ₹ 2,304.92 ","Mar 20, 2020"," ₹ 2,431.94 "," ₹ 2,453.01 "," ₹ 2,295.56 "," ₹ 2,304.92 ",-,-4.34%,4%,157.45,6.50%,,,,,,,,,,,,,,,,,
"Mar 19, 2020"," ₹ 2,409.39 ","Mar 19, 2020"," ₹ 2,393.48 "," ₹ 2,466.97 "," ₹ 2,319.78 "," ₹ 2,409.39 ",-,0.47%,0%,147.19,6.10%,,,,,,,,,,,,,,,,,
"Mar 18, 2020"," ₹ 2,398.10 ","Mar 18, 2020"," ₹ 2,436.50 "," ₹ 2,453.57 "," ₹ 2,280.52 "," ₹ 2,398.10 ",-,-5.18%,5%,173.05,7.10%,,,,,,,,,,,,,,,,,
"Mar 17, 2020"," ₹ 2,529.19 ","Mar 17, 2020"," ₹ 2,425.66 "," ₹ 2,553.93 "," ₹ 2,367.04 "," ₹ 2,529.19 ",-,6.00%,6%,186.89,7.70%,,,,,,,,,,,,,,,,,
"Mar 16, 2020"," ₹ 2,386.13 ","Mar 16, 2020"," ₹ 2,508.59 "," ₹ 2,562.98 "," ₹ 2,380.94 "," ₹ 2,386.13 ",-,-11.98%,12%,182.04,7.30%,,,,,,,,,,,,,,,,,
"Mar 13, 2020"," ₹ 2,711.02 ","Mar 13, 2020"," ₹ 2,569.99 "," ₹ 2,711.33 "," ₹ 2,492.37 "," ₹ 2,711.02 ",-,9.29%,9%,218.96,8.50%,,,,,,,,,,,,,,,,,
"Mar 12, 2020"," ₹ 2,480.64 ","Mar 12, 2020"," ₹ 2,630.86 "," ₹ 2,660.95 "," ₹ 2,478.86 "," ₹ 2,480.64 ",-,-9.51%,10%,182.09,6.90%,,,,,,,,,,,,,,,,,
"Mar 11, 2020"," ₹ 2,741.38 ","Mar 11, 2020"," ₹ 2,825.60 "," ₹ 2,825.60 "," ₹ 2,707.22 "," ₹ 2,741.38 ",-,-4.89%,5%,118.38,4.20%,,,,,,,,,,,,,,,,,
"Mar 10, 2020"," ₹ 2,882.23 ","Mar 10, 2020"," ₹ 2,813.48 "," ₹ 2,882.59 "," ₹ 2,734.00 "," ₹ 2,882.23 ",-,4.94%,5%,148.59,5.30%,,,,,,,,,,,,,,,,,
